순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1,더 퍼스트 슬램덩크,2023-01-04,"44,558,519,739",16.3%,"44,616,297,739","4,324,571","4,330,206","1,060","208,521",일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,애니메이션,이노우에 다케히코,
2,아바타: 물의 길,2022-12-14,"47,291,134,162",17.3%,"137,587,973,364","3,487,834","10,800,983","2,047","129,793",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF,스릴러",제임스 카메론,"조 샐다나,샘 워싱턴,시고니 위버,스티븐 랭,케이트 윈슬렛"
3,스즈메의 문단속,2023-03-08,"34,212,674,348",12.5%,"34,212,674,348","3,288,584","3,288,584","1,572","125,711",일본,일본,,(주)쇼박스,12세이상관람가,애니메이션,신카이 마코토,
4,영웅,2022-12-21,"17,709,278,958",6.5%,"32,243,504,281","1,778,857","3,266,536","1,099","88,018",한국,한국,"(주)제이케이필름,(주)씨제이이엔엠",(주)씨제이이엔엠,12세이상관람가,"드라마,뮤지컬",윤제균,"정성화,김고은,나문희,조재윤,배정남,이현우,박진주,권라희,지웅배"
5,교섭,2023-01-18,"17,461,011,740",6.4%,"17,461,011,740","1,721,111","1,721,111","1,289","92,617",한국,한국,"(주)영화사수박,원테이크필름",플러스엠 엔터테인먼트,12세이상관람가,드라마,임순례,"도기범,황정민,현빈,강기영"
6,앤트맨과 와스프: 퀀텀매니아,2023-02-15,"16,345,457,606",6.0%,"16,345,457,606","1,550,998","1,550,998","2,090","104,735",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,액션,페이튼 리드,"폴 러드,에반젤린 릴리,미셀 파이퍼,마이클 더글라스"
7,장화신은 고양이: 끝내주는 모험,2023-01-04,"7,868,777,269",2.9%,"7,925,094,269","830,776","836,554",924,"43,431",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,조엘 크로포드,"안토니오 반데라스,셀마 헤이엑,올리비아 콜맨,하비 길렌,샘슨 카요,와그너 모라,안토니 멘데즈,존 멀레이니,플로렌스 퓨,더바인 조이 랜돌프,레이 윈스톤"
8,대외비,2023-03-01,"7,447,291,199",2.7%,"7,447,291,199","753,499","753,499","1,157","53,444",한국,한국,"(주)트윈필름,(주)비에이엔터테인먼트",플러스엠 엔터테인먼트,15세이상관람가,"범죄,드라마",이원태,"조진웅,이성민,김무열,원현준,김민재,유승목,김윤성,박세진,손여은,이상원,박정표,박상원,허지원,정기섭,박기선,한갑수,문정대,박상규,손성찬,엄옥란,박재원,양정인,곽진,이상협,권혁성,우수빈,김제형,김수환,문순주,최병윤,김성곤,박시완,최현도,여이레,정소리,윤도영,김진,문지영,허민아,김형명,이원진,정조준,최동구,이형원,김민준,이정우,유상재,양택호,이태일,김미현,임종훈,김탁,이유주,송용환,김가은,조영진,최민철"
9,유령,2023-01-18,"6,760,477,879",2.5%,"6,760,477,879","664,098","664,098","1,099","46,960",한국,한국,더램프(주),(주)씨제이이엔엠,15세이상관람가,액션,이해영,"설경구,이하늬,박소담,박해수,서현우,김동희,김중희,고인범,조하석,서진원,유경훈,박상훈,김명선,한우열,윤정섭,손경표,김영택,김형서,박가영,금새록,공대유,김혜옥,김종수,이솜,이주영"
10,"귀멸의 칼날: 상현집결, 그리고 도공 마을로",2023-03-02,"6,516,431,400",2.4%,"6,516,431,400","529,569","529,569",410,"20,300",일본,일본,,(주)디스테이션,15세이상관람가,애니메이션,소토자키 하루오,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구"
11,타이타닉,1998-02-20,"6,528,961,730",2.4%,"11,436,767,230","454,336","883,847",447,"14,296",미국,미국,파라마운트 픽쳐스,"월트디즈니컴퍼니코리아 유한책임회사,씨네힐,이십세기폭스코리아(주)","15세 미만인 자는 관람할 수 없는 등급 ,15세이상관람가","드라마,멜로/로맨스,액션",제임스 카메론,"레오나르도 디카프리오,케이트 윈슬렛"
12,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"4,623,160,505",1.7%,"11,373,317,307","438,152","1,100,549",402,"24,154",일본,일본,,"(주)바이포엠스튜디오,홀리가든",12세이상관람가,멜로/로맨스,미키 타카히로,"미치에다 슌스케,후쿠모토 리코,후루카와 코토네,마츠모토 호노카"
13,서치 2,2023-02-22,"4,074,491,196",1.5%,"4,074,491,196","413,605","413,605",868,"36,887",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"미스터리,스릴러","니콜라스 D 존슨,윌 메릭","스톰 리드,켄 렁,다니엘 헤니,니아 롱"
14,스위치,2023-01-04,"3,793,820,810",1.4%,"4,014,409,694","399,162","422,310",912,"36,959",한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,기타,마대윤,"권상우,오정세,이민정,박소이,김준,김미경,김명선,이서환,차시원,성병숙,김승훈,윤대열,민태율,이가경,이세인,정형석,황병국,문정대,고기영,김용우,황사무엘,손석배,노경섭,이주한,백경선,김희정,이윤규,이현지,김진우,유재명,황승언,송영재,이지훈"
15,카운트,2023-02-22,"3,745,330,091",1.4%,"3,745,330,091","393,470","393,470",946,"37,061",한국,한국,"(주)필름케이,(주)26컴퍼니",(주)씨제이이엔엠,12세이상관람가,드라마,권혁재,"진선규,김지창,성유빈,고창석,오나라,장동주,고규필,한태경,김욱인,이종화,최형태,추정훈,태인호,차순배,이준혁,이홍내,우정원,한철우,전승재,이일화,박성근,김한종,이윤희,전승재"
16,상견니,2023-01-25,"3,585,923,938",1.3%,"3,585,923,938","359,262","359,262",699,"31,162",대만,대만,,"오드,리바이브콘텐츠 주식회사,씨제이 씨지브이(CJ CGV)(주)",15세이상관람가,"드라마,판타지,멜로/로맨스",황천인,"가가연,허광한,시백우"
17,아임 히어로 더 파이널,2023-03-01,"5,657,795,500",2.1%,"5,657,795,500","234,102","234,102",146,"7,613",한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,CGV ICECON",전체관람가,"공연,다큐멘터리",오윤동,임영웅
18,웅남이,2023-03-22,"2,103,958,816",0.8%,"2,103,958,816","231,631","231,631",829,"24,788",한국,한국,(주)영화사김치,씨제이 씨지브이(CJ CGV)(주),15세이상관람가,"코미디,액션",박성광,"박성웅,최민수,오달수,염혜란,윤제문,이이경,백지혜,서동원,한다솔,정우성,안일권,김기천,변진수,최선자,양주호,곽민호,장덕출,김광식,김종구,노기홍,정규석,정기욱,고덕원,이서율,박강토,양동혁,오지영,설도희,김미성,이광훈,허진성,이성하,정현옥,전지학,유병선,김인석,이얀,하회정,한상경,전재현,강준규,김대근,곽기훈,문웅기,류한종,이민교,양해준,박건주,소계원,장두경,송인준,인선호,문기환,정우철,장효준,정유동,노일환,홍기주,서현우"
19,메간,2023-01-25,"2,331,686,898",0.9%,"2,331,686,898","230,874","230,874",704,"21,067",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"공포(호러),스릴러,코미디",제라드 존스톤,"앨리슨 윌리암스,바이올렛 맥그로우"
20,바빌론,2023-02-01,"2,107,289,409",0.8%,"2,107,289,409","209,876","209,876",852,"21,401",미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,드라마,데이미언 셔젤,"브래드 피트,마고 로비,디에고 칼바,진 스마트,조반 아데포,리 준 리,토비 맥과이어"
